CALL#,TITLE,Title,Permanent Link,Title with Hyperlink,SUBJECT,INDEX/GUIDE,,,INDEX/GUIDE,SERIES
MFF237,"Bethlem Gabor, Lord of Transylvania, or, The Man Hating Palatine: An Historical Drama in Three Acts (J.D. Burk)","Bethlem Gabor, Lord of Transylvania, or, The Man Hating Palatine: An Historical Drama in Three Acts (J.D. Burk)",http://library.tufts.edu:80/record=b1328267~S1,"Bethlem Gabor, Lord of Transylvania, or, The Man Hating Palatine: An Historical Drama in Three Acts (J.D. Burk)",Arts/Humanities,,,,"Based in part on: St. Leon / William Godwin.;""Imperfect: t.p. wanting."";""Hill, F.P. Amer. plays, 34"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, America","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF238,"Bunker-Hill, or, The Death of General Warren: An Historic Tragedy in Five Acts (J.D. Burk)","Bunker-Hill, or, The Death of General Warren: An Historic Tragedy in Five Acts (J.D. Burk)",http://library.tufts.edu:80/record=b1328268~S1,"Bunker-Hill, or, The Death of General Warren: An Historic Tragedy in Five Acts (J.D. Burk)",Arts/Humanities,,,,"As played at the theatres in America, for fourteen nights, with unbounded applause. ;""Imperfect: t.p. partially illegible."";""Hill, F.P. Amer. plays, 35"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of Engl","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF239,"Female Patriotism, or, The Death of Joan d'Arc: An Historic Play in Five Acts (J.D. Burk)","Female Patriotism, or, The Death of Joan d'Arc: An Historic Play in Five Acts (J.D. Burk)",http://library.tufts.edu:80/record=b1328269~S1,"Female Patriotism, or, The Death of Joan d'Arc: An Historic Play in Five Acts (J.D. Burk)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 36;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF240,"Catharine Brown, the Converted Cherokee: A Missionary Drama, Founded on Fact (Lady)","Catharine Brown, the Converted Cherokee: A Missionary Drama, Founded on Fact (Lady)",http://library.tufts.edu:80/record=b1328866~S1,"Catharine Brown, the Converted Cherokee: A Missionary Drama, Founded on Fact (Lady)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 37;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF241,Cecilia: A Drama (Anon.),Cecilia: A Drama (Anon.),http://library.tufts.edu:80/record=b1328647~S1,Cecilia: A Drama (Anon.),Arts/Humanities,,,,"Caption title.;""Detached from: The Casket : a Christmas and New Year's present for children and young persons."";""Hill, F.P. Amer. plays, 38"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and Ameri","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF242,"Red Rover, The (S.H. Chapman)","Red Rover, The (S.H. Chapman)",http://library.tufts.edu:80/record=b1328273~S1,"Red Rover, The (S.H. Chapman)",Arts/Humanities,,,,"Authorship attributed to Chapman. Cf. Hill, F.P. Amer. plays, 39.;"" As performed at the London theatres. "";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, A","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF243,"Charles the Twelfth, or, The Battle of Pultowa: A Military Tragic Piece in Four Acts (Anon.)","Charles the Twelfth, or, The Battle of Pultowa: A Military Tragic Piece in Four Acts (Anon.)",http://library.tufts.edu:80/record=b1328270~S1,"Charles the Twelfth, or, The Battle of Pultowa: A Military Tragic Piece in Four Acts (Anon.)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 40;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF244,"Dialogues Between a Minister and an Honest Country-Man Concerning Election and Predestination, Very Suitable to the Present Times (J. Checkley)","Dialogues Between a Minister and an Honest Country-Man Concerning Election and Predestination, Very Suitable to the Present Times (J. Checkley)",http://library.tufts.edu:80/record=b1328274~S1,"Dialogues Between a Minister and an Honest Country-Man Concerning Election and Predestination, Very Suitable to the Present Times (J. Checkley)",Arts/Humanities,,,,"Divine prescience consistent with human liberty attributed to Richard Peters and Archibald Cummings.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, Americ","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF245,"Federalism Triumphant in the Steady Habits of Connecticut Alone, or, The Turnpike Road to a Fortune: A Comic Opera of Political Farce in Six Acts (L. Chester)","Federalism Triumphant in the Steady Habits of Connecticut Alone, or, The Turnpike Road to a Fortune: A Comic Opera of Political Farce in Six Acts (L. Chester)",http://library.tufts.edu:80/record=b1328275~S1,"Federalism Triumphant in the Steady Habits of Connecticut Alone, or, The Turnpike Road to a Fortune: A Comic Opera of Political Farce in Six Acts (L. Chester)",Arts/Humanities,,,,"Written by Chester Leonard. Cf. Hill, F.P. Amer. plays, 41.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF246,"Benevolent Lawyers, The, or, Villainy Detected: A Comedy in Five Acts (M.C. Clarke)","Benevolent Lawyers, The, or, Villainy Detected: A Comedy in Five Acts (M.C. Clarke)",http://library.tufts.edu:80/record=b1328271~S1,"Benevolent Lawyers, The, or, Villainy Detected: A Comedy in Five Acts (M.C. Clarke)",Arts/Humanities,,,,"Imperfect: p. 77 wanting.;""Hill, F.P. Amer. plays, 42"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF247,"Fair Americans, The: An Original Comedy in Five Acts (M.C. Clarke)","Fair Americans, The: An Original Comedy in Five Acts (M.C. Clarke)",http://library.tufts.edu:80/record=b1328276~S1,"Fair Americans, The: An Original Comedy in Five Acts (M.C. Clarke)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 43;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF248,"Conquest of Canada, The, or, The Siege of Quebec: An Historical Tragedy of Five Acts (G. Cockings)","Conquest of Canada, The, or, The Siege of Quebec: An Historical Tragedy of Five Acts (G. Cockings)",http://library.tufts.edu:80/record=b1328283~S1,"Conquest of Canada, The, or, The Siege of Quebec: An Historical Tragedy of Five Acts (G. Cockings)",Arts/Humanities,,,,"Imperfect: t.p., p. i-ii wanting.;""Title page supplied in manuscript preceding p. [iii]."";""Hill, F.P. Amer. plays, 44"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF249,Tragedy Founded on the History of Joseph and His Brethren As Recorded in Sacred Scripture (I. Cody),Tragedy Founded on the History of Joseph and His Brethren As Recorded in Sacred Scripture (I. Cody),http://library.tufts.edu:80/record=b1328285~S1,Tragedy Founded on the History of Joseph and His Brethren As Recorded in Sacred Scripture (I. Cody),Arts/Humanities,,,,"Dramatization of: Genesis XXXVII.;""Imperfect: t.p. and several other pages mutilated."";""Hill, F.P. Amer. plays, 45"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 171","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF250,Columbia and Britannia: A Dramatic Piece (Anon.),Columbia and Britannia: A Dramatic Piece (Anon.),http://library.tufts.edu:80/record=b1328288~S1,Columbia and Britannia: A Dramatic Piece (Anon.),Arts/Humanities,,,,"Attributed to Nathaniel Niles. Cf. Hill, F.P. Amer. plays, 46.;""Preface signed: Philophron, March 15, 1787."";""Imperfect: t.p. partially illegible."";""Includes untitled songs without music."";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche :","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF251,"Conncecticut Emigrant, The: A Dialogue (Descendant of the Connecticut Pilgrims)","Conncecticut Emigrant, The: A Dialogue (Descendant of the Connecticut Pilgrims)",http://library.tufts.edu:80/record=b1328867~S1,"Conncecticut Emigrant, The: A Dialogue (Descendant of the Connecticut Pilgrims)",Arts/Humanities,,,,"Also, a song [without the music], for the anniversary of the Connecticut agricultural societies, cattle shows, fairs, and exhibitions of domestic manufactures, for 1882. ;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF252,"Exercise Containing a Dialogue and Two Odes, An (T. Coombe)","Exercise Containing a Dialogue and Two Odes, An (T. Coombe)",http://library.tufts.edu:80/record=b1328624~S1,"Exercise Containing a Dialogue and Two Odes, An (T. Coombe)",Arts/Humanities,,,,"Authorship attributed to Thomas Coombe. Cf. Hill, F.P. Amer. plays, 48.;"" Performed at the public commencement in the College of Philadelphia, November 17, 1767. "";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuri","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF253,"Sea Serpent, The, or Gloucester Hoax (W. Crafts)","Sea Serpent, The, or Gloucester Hoax (W. Crafts)",http://library.tufts.edu:80/record=b1330512~S1,"Sea Serpent, The, or Gloucester Hoax (W. Crafts)",Arts/Humanities,,,,"Written by William Crafts. Cf. Hill, F.P. Amer. plays, 49.;""Includes indications for incidental music."";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, Amer","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF254,"Kosciusko of South Carolina, or The Fall of Warsaw, (O. Cromwell)","Kosciusko of South Carolina, or The Fall of Warsaw, (O. Cromwell)",http://library.tufts.edu:80/record=b1328862~S1,"Kosciusko of South Carolina, or The Fall of Warsaw, (O. Cromwell)",Arts/Humanities,,,,"Caption title.;""Detached from: The soldier's wreath, or, The battle ground of New Orleans, and other poems / by Oliver Cromwell, of South Carolina."";""Hill, F.P. Amer. plays, 50"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative.","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF255,"New World Planted, or The Adventures of the Forefathers of New England (J. Croswell)","New World Planted, or The Adventures of the Forefathers of New England (J. Croswell)",http://library.tufts.edu:80/record=b1328296~S1,"New World Planted, or The Adventures of the Forefathers of New England (J. Croswell)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 51;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF256,"Indian Prophecy, The: A National Drama in Two Acts (G.W.P. Custis)","Indian Prophecy, The: A National Drama in Two Acts (G.W.P. Custis)",http://library.tufts.edu:80/record=b1328286~S1,"Indian Prophecy, The: A National Drama in Two Acts (G.W.P. Custis)",Arts/Humanities,,,,"Performed at the theatres of Philadelphia, Baltimore, and Washington. ;"" First acted at Chestnut Street Theater, Philadelphia, July 4, 1827 --Hill, F.P. Amer. plays, 52."";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF257,"Pocahontas, or The Settlers of Virginia (G.W.P. Custis)","Pocahontas, or The Settlers of Virginia (G.W.P. Custis)",http://library.tufts.edu:80/record=b1328277~S1,"Pocahontas, or The Settlers of Virginia (G.W.P. Custis)",Arts/Humanities,,,,"Performed at the Walnut Street Theatre, Philadelphia, twelve nights with great success. ;"" First played January 16, 1830. The first extant Pocahontas play was Barker's Indian princess --Hill, F.P. Amer. plays, 53."";""Microfiche. [New Canaan, Conn.] : Re","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF258,"Beaux Without Belles, or, Ladies We Can Do Without You: A Musical Farce (D. Darling)","Beaux Without Belles, or, Ladies We Can Do Without You: A Musical Farce (D. Darling)",http://library.tufts.edu:80/record=b1328278~S1,"Beaux Without Belles, or, Ladies We Can Do Without You: A Musical Farce (D. Darling)",Arts/Humanities,,,,"Libretto only.;""Includes untitled songs to be sung."";"" As performed at the theatre, Fredericksburg, Virginia. "";""Hill, F.P. Amer. plays, 54"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and Ameri","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF259,"Day in Turkey, A: A Farce in Two Acts (Anon.)","Day in Turkey, A: A Farce in Two Acts (Anon.)",http://library.tufts.edu:80/record=b1328280~S1,"Day in Turkey, A: A Farce in Two Acts (Anon.)",Arts/Humanities,,,,"Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF260,"Suicide, The (T. Day)","Suicide, The (T. Day)",http://library.tufts.edu:80/record=b1328281~S1,"Suicide, The (T. Day)",Arts/Humanities,,,,"Written by Thomas Day. Cf. Hill, F.P. Amer. plays, 55.;"" Exhibited on the stage at the public commencement of Yale- College, Sept. 13, M.DCC.XCVII. "";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF261,"Debates at the Robin-Hood Society in the City of New York on Monday Night, 19th of July, 1774 (Anon.)","Debates at the Robin-Hood Society in the City of New York on Monday Night, 19th of July, 1774 (Anon.)",http://library.tufts.edu:80/record=b1328291~S1,"Debates at the Robin-Hood Society in the City of New York on Monday Night, 19th of July, 1774 (Anon.)",Arts/Humanities,,,,"A satirical publication relating to the troubles between the American colonies and England prior to the Revolution.;""Hill, F.P. Amer. plays, 58"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and A","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF262,Carabasset: A Tragedy in Five Acts (N. Deering),Carabasset: A Tragedy in Five Acts (N. Deering),http://library.tufts.edu:80/record=b1328284~S1,Carabasset: A Tragedy in Five Acts (N. Deering),Arts/Humanities,,,,"Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF263,"Oolaita, or The Indian Heroine (L. Deffebach)","Oolaita, or The Indian Heroine (L. Deffebach)",http://library.tufts.edu:80/record=b1328293~S1,"Oolaita, or The Indian Heroine (L. Deffebach)",Arts/Humanities,,,,"Cover title.;""Hill, F.P. Amer. plays, 60"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF264,"King and His Cabinet, The (T.H. Delpho)","King and His Cabinet, The (T.H. Delpho)",http://library.tufts.edu:80/record=b1328302~S1,"King and His Cabinet, The (T.H. Delpho)",Arts/Humanities,,,,"Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF265,"Rescue, The, or The Villain Unmasked (R. D'Elville)","Rescue, The, or The Villain Unmasked (R. D'Elville)",http://library.tufts.edu:80/record=b1328298~S1,"Rescue, The, or The Villain Unmasked (R. D'Elville)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 61;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF266,"Dialogue Between Christ, Youth, and the Devil (Anon.)","Dialogue Between Christ, Youth, and the Devil (Anon.)",http://library.tufts.edu:80/record=b1328656~S1,"Dialogue Between Christ, Youth, and the Devil (Anon.)",Arts/Humanities,,,,"Caption title.;""Detached from: The New-England primer enlarged."";""Hill, F.P. Amer. plays, 62"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF267,Dialogue Containing Some Refelections on the Late Declaration and Remonstrance of the Back Inhabitants of the Province of Pennsylvania (Member of that Community),Dialogue Containing Some Refelections on the Late Declaration and Remonstrance of the Back Inhabitants of the Province of Pennsylvania (Member of that Community),http://library.tufts.edu:80/record=b1328879~S1,Dialogue Containing Some Refelections on the Late Declaration and Remonstrance of the Back Inhabitants of the Province of Pennsylvania (Member of that Community),Arts/Humanities,,,,"Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF268,"Distrest Family, The: A Drama in Two Parts (Anon.)","Distrest Family, The: A Drama in Two Parts (Anon.)",http://library.tufts.edu:80/record=b1328299~S1,"Distrest Family, The: A Drama in Two Parts (Anon.)",Arts/Humanities,,,,"Imperfect: several pages partially illegible.;""Hill, F.P. Amer. plays, 63"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF269,"Logan, the Last of the Race of Shikellemus, Chief of the Cayuga Nation (J. Doddridge)","Logan, the Last of the Race of Shikellemus, Chief of the Cayuga Nation (J. Doddridge)",http://library.tufts.edu:80/record=b1328301~S1,"Logan, the Last of the Race of Shikellemus, Chief of the Cayuga Nation (J. Doddridge)",Arts/Humanities,,,,"Hill, F.P. Amer. plays, 64;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF270,"Heselrigge, or, The Death of Lady Wallace: With Other Poems (Mrs. H.M. Dodge)","Heselrigge, or, The Death of Lady Wallace: With Other Poems (Mrs. H.M. Dodge)",http://library.tufts.edu:80/record=b1330465~S1,"Heselrigge, or, The Death of Lady Wallace: With Other Poems (Mrs. H.M. Dodge)",Arts/Humanities,,,,"Includes untitled songs without music.;""Hill, F.P. Amer. plays, 65"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF271,"Don Juan, or, The Libertine Destroyed: A Grand Pantomimical Ballad in Two Parts (Anon.)","Don Juan, or, The Libertine Destroyed: A Grand Pantomimical Ballad in Two Parts (Anon.)",http://library.tufts.edu:80/record=b1330514~S1,"Don Juan, or, The Libertine Destroyed: A Grand Pantomimical Ballad in Two Parts (Anon.)",Arts/Humanities,,,,"As performed at the Boston Theatre. ;""Based on: The libertine / Thomas Shadwell."";""Without the music."";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, Ameri","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF272,Downfall of Justice and the Farmer Just Return'd From Meeting on Thanksgiving Day: A Comedy Lately Acted in Connecticut (Anon.),Downfall of Justice and the Farmer Just Return'd From Meeting on Thanksgiving Day: A Comedy Lately Acted in Connecticut (Anon.),http://library.tufts.edu:80/record=b1328868~S1,Downfall of Justice and the Farmer Just Return'd From Meeting on Thanksgiving Day: A Comedy Lately Acted in Connecticut (Anon.),Arts/Humanities,,,,"Imperfect: t.p. and text partially illegible.;"" In this second edition is annexed A fable, by way of an address to a countryman on his petitioning Jupiter for an amendment of his cirumstances. "";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfi","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF273,Dramatic Pieces Calculated to Exemplify the Mode of Conduct Which Will Render Young Ladies Both Amiable and Happy When Their School Education is Completed (Anon.),Dramatic Pieces Calculated to Exemplify the Mode of Conduct Which Will Render Young Ladies Both Amiable and Happy When Their School Education is Completed (Anon.),http://library.tufts.edu:80/record=b1328865~S1,Dramatic Pieces Calculated to Exemplify the Mode of Conduct Which Will Render Young Ladies Both Amiable and Happy When Their School Education is Completed (Anon.),Arts/Humanities,,,,"Preface signed: P.I.;""Imperfect: several pages partially illegible."";""v. 1. The good mother-in-law. The good daughter-in-law -- v. 2. The reformation. The maternal sister -- v. 3. Triumph of reason. The contrast."";""Hill, F.P. Amer. plays, 68"";""Microfiche","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF274,"Exercise Containing a Dialogue and Ode on the Accession of His Present Gracious Majesty, George III (J. Duche)","Exercise Containing a Dialogue and Ode on the Accession of His Present Gracious Majesty, George III (J. Duche)",http://library.tufts.edu:80/record=b1330518~S1,"Exercise Containing a Dialogue and Ode on the Accession of His Present Gracious Majesty, George III (J. Duche)",Arts/Humanities,,,,"Dialogue by Duché Ode by Hopkinson.;"" Performed at the public commencement in the College of Philadelphia, May 18, 1762. "";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 15","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF275,"Abaellino, Der Grosse Bandit (W. Dunlap)","Abaellino, Der Grosse Bandit (W. Dunlap)",http://library.tufts.edu:80/record=b1330925~S1,"Abaellino, Der Grosse Bandit (W. Dunlap)",Arts/Humanities,,,,"From Heinrich Zschokke's Abällino, der grosse Bandit, published first as a novel in 1793 ande dramatized in 1795. Cf. Hill, F.P. Amer. plays, 70.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and","New-York theatre   v. 1;""Three centuries of English and American plays, 1500-1830. 1714-1830, American."";""New-York theatre   v. 1."""
MFF276,"Abaellino, Der Grosse Bandit (W. Dunlap) - 2nd ed.","Abaellino, Der Grosse Bandit (W. Dunlap) - 2nd ed.",http://library.tufts.edu:80/record=b1329676~S1,"Abaellino, Der Grosse Bandit (W. Dunlap) - 2nd ed.",Arts/Humanities,,,,"From Heinrich Zschokke's Abällino, der grosse Bandit, published first as a novel in 1793 and dramatized in 1795. Cf. Hill, F.P. Amer. plays, 70.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF277,"Abaellino, Der Grosse Bandit (W. Dunlap) - 3rd ed.","Abaellino, Der Grosse Bandit (W. Dunlap) - 3rd ed.",http://library.tufts.edu:80/record=b1329687~S1,"Abaellino, Der Grosse Bandit (W. Dunlap) - 3rd ed.",Arts/Humanities,,,,"From Heinrich Zschokke's Abällino, der grosse Bandit published first as a novel in 1793 and dramatized in 1795. Cf. Hill, F.P. Amer. plays, 70.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF278,"Abaellino, Der Grosse Bandit (W. Dunlap) - 4th ed.","Abaellino, Der Grosse Bandit (W. Dunlap) - 4th ed.",http://library.tufts.edu:80/record=b1329675~S1,"Abaellino, Der Grosse Bandit (W. Dunlap) - 4th ed.",Arts/Humanities,,,,"From Heinrich Zschokke's Abällino, der grosse Bandit, published first as a novel in 1793 and dramatized in 1795. Cf. Hill, F.P. Amer. plays, 70.;""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF279,"Africans, The, or, War, Love and Duty: A Play in Three Acts (W. Dunlap)","Africans, The, or, War, Love and Duty: A Play in Three Acts (W. Dunlap)",http://library.tufts.edu:80/record=b1328933~S1,"Africans, The, or, War, Love and Duty: A Play in Three Acts (W. Dunlap)",Arts/Humanities,,,,"Attributed to George Colman. Cf. Hill, F.P. Amer. plays, 71.;"" As performed at the Philadelphia Theatre. "";""The plot is from Florian's Selico."";""William Dunlap includes this in the list of his plays given in the appendix to his History of the American th","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF280,Andre: A Tragedy in Five Acts (W. Dunlap),Andre: A Tragedy in Five Acts (W. Dunlap),http://library.tufts.edu:80/record=b1328934~S1,Andre: A Tragedy in Five Acts (W. Dunlap),Arts/Humanities,,,,"The cow chace : p. [85]-96.;""Appendix: p. [97]-109."";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 2 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF281,"Archers, The, or Mountaineers of Switzerland: An Opera in Three Acts (W. Dunlap)","Archers, The, or Mountaineers of Switzerland: An Opera in Three Acts (W. Dunlap)",http://library.tufts.edu:80/record=b1330180~S1,"Archers, The, or Mountaineers of Switzerland: An Opera in Three Acts (W. Dunlap)",Arts/Humanities,,,,"Libretto.;""Preface signed: W. Dunlap. The music was written by Benjamin Carr."";"" As performed by the Old American Company in New-York. "";""Imperfect: p. 80-94 (A brief historic account of Switzerland) wanting p. 60-63, 66 repeated."";""Microfiche. [New Cana","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF282,"Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1806","Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1806",http://library.tufts.edu:80/record=b1329394~S1,"Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1806",Arts/Humanities,,,,"Without the music.;""Hill, F.P. Amer. plays, 75"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830, American).""","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
MFF283,"Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1811","Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1811",http://library.tufts.edu:80/record=b1329392~S1,"Blue Beard, or, Female Curiosity: A Dramatic Romance in Three Acts (W. Dunlap) 1811",Arts/Humanities,,,,"Without the music.;""Imperfect: p. 42 defective and numbered erroneously as 24."";""Hill, F.P. Amer. plays, 75"";""Microfiche. [New Canaan, Conn.] : Readex, [1989]. 1 microfiche : negative. (Three centuries of English and American plays, 1500-1830. 1714-1830,","Three centuries of English and American plays, 1500-1830. 1714-1830, American."
