FileName,"Error","NameError","TemplateField.Name","DocumentField.Name","RegonitionTypeError","TemplateField.RecognitionFieldType","DocumentField.RecognitionFieldType","FormFieldGroupError","TemplateField.FormFieldGroup","DocumentField.FormFieldGroup","LabelAreaError","TemplateField.LabelArea","DocumentField.LabelArea","LabelTextError","TemplateField.LabelText","DocumentField.LabelText","DataAreaError","TemplateField.DataArea","DocumentField.DataArea","DataTextError","TemplateField.DataText","DocumentField.DataText","DocumentField.Validation"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711336-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_12_2011~$82.05~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1739,Y=170,Width=173,Height=19}","{X=1739,Y=170,Width=173,Height=19}","","INVOICE DATE","INVOICE DATE","","{X=1763,Y=206,Width=261,Height=41}","{X=1763,Y=206,Width=261,Height=41}","","~4/12/2011","~4/12/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711336-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_12_2011~$82.05~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=2322,Y=2353,Width=175,Height=22}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=3010,Y=2334,Width=107,Height=49}","{X=0,Y=0,Width=0,Height=0}","","~82.05","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711336-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_12_2011~$82.05~_001.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=324,Y=734,Width=251,Height=33}","{X=339,Y=737,Width=220,Height=22}","","Custorner Order No","Custorner Order No","DIFF","{X=367,Y=766,Width=277,Height=49}","{X=389,Y=778,Width=246,Height=26}","","~DPWA11940084","~DPWA11940084","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711340-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_21_2011~$6.65~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1748,Y=176,Width=172,Height=20}","{X=1748,Y=176,Width=172,Height=20}","","INVOICE DATE","INVOICE DATE","","{X=1772,Y=213,Width=260,Height=41}","{X=1772,Y=213,Width=260,Height=41}","","~4/21/2011","~4/21/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711340-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_21_2011~$6.65~_001.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=2679,Y=161,Width=220,Height=21}","{X=2679,Y=161,Width=220,Height=21}","","INVOICE NUMBER","INVOICE NUMBER","","{X=2556,Y=204,Width=440,Height=31}","{X=2556,Y=204,Width=440,Height=31}","","~7711340-000-000","~7711340-000-000","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711340-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_21_2011~$6.65~_001.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=320,Y=730,Width=246,Height=44}","{X=341,Y=743,Width=216,Height=22}","","Customer Order No","Customer Order No","DIFF","{X=363,Y=768,Width=278,Height=54}","{X=392,Y=784,Width=239,Height=26}","","~DPWA11940084","~DPWA11940084","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711340-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~04_21_2011~$6.65~_001.tif","Error template/document field mis-matched","ERROR","Total Due","Invoice Number","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=2298,Y=2357,Width=198,Height=38}","{X=2316,Y=2362,Width=171,Height=21}","DIFF","Invoice Amount","invoice Amount","DIFF","{X=3007,Y=2351,Width=102,Height=49}","{X=3033,Y=2360,Width=73,Height=31}","","~6.65","~6.65","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711470-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_04_2011~$59.85~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1753,Y=162,Width=171,Height=21}","{X=1744,Y=161,Width=171,Height=20}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1777,Y=199,Width=259,Height=41}","{X=1769,Y=197,Width=259,Height=41}","","~5/4/2011","~5/04/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711470-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_04_2011~$59.85~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2654,Y=133,Width=252,Height=39}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2526,Y=176,Width=481,Height=44}","{X=0,Y=0,Width=0,Height=0}","","~7711470-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711470-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_04_2011~$59.85~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=336,Y=721,Width=236,Height=38}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=379,Y=758,Width=273,Height=44}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711470-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_04_2011~$59.85~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2317,Y=2333,Width=194,Height=39}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=3012,Y=2328,Width=118,Height=44}","{X=0,Y=0,Width=0,Height=0}","","~59.85","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711662-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$269.80~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1702,Y=174,Width=170,Height=21}","{X=1688,Y=171,Width=170,Height=21}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1726,Y=210,Width=255,Height=41}","{X=1713,Y=207,Width=255,Height=42}","","~5/25/2011","~5/25/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711662-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$269.80~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2587,Y=150,Width=249,Height=38}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2472,Y=187,Width=458,Height=47}","{X=0,Y=0,Width=0,Height=0}","","~7711662-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711662-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$269.80~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=316,Y=741,Width=240,Height=32}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=368,Y=772,Width=260,Height=43}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711662-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$269.80~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2244,Y=2343,Width=204,Height=48}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=2908,Y=2338,Width=130,Height=47}","{X=0,Y=0,Width=0,Height=0}","","~269.80","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711668-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$177.10~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1697,Y=182,Width=168,Height=20}","{X=1687,Y=180,Width=168,Height=20}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1722,Y=218,Width=254,Height=41}","{X=1712,Y=216,Width=254,Height=41}","","~5/25/2011","~5/25/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711668-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$177.10~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2590,Y=155,Width=239,Height=37}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2477,Y=196,Width=451,Height=48}","{X=0,Y=0,Width=0,Height=0}","","~7711668-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711668-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$177.10~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2239,Y=2353,Width=218,Height=42}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=2901,Y=2353,Width=135,Height=42}","{X=0,Y=0,Width=0,Height=0}","","~177.10","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711668-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$177.10~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=310,Y=739,Width=239,Height=38}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=357,Y=781,Width=264,Height=42}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711669-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$846.00~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1737,Y=234,Width=159,Height=20}","{X=1737,Y=234,Width=159,Height=20}","DIFF","INVOICE DATE","[NVOICE DATE","","{X=1759,Y=268,Width=241,Height=38}","{X=1759,Y=268,Width=241,Height=38}","","~5/25/2011","~5/25/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711669-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$846.00~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2576,Y=210,Width=232,Height=38}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2471,Y=242,Width=421,Height=53}","{X=0,Y=0,Width=0,Height=0}","","~7711669-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711669-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$846.00~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=426,Y=767,Width=227,Height=38}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=426,Y=810,Width=348,Height=37}","{X=0,Y=0,Width=0,Height=0}","","~DPWA14936032 REL2","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711669-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$846.00~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2255,Y=2276,Width=201,Height=43}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=2875,Y=2276,Width=128,Height=43}","{X=0,Y=0,Width=0,Height=0}","","~846.00","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711670-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_16_2011~$47.69~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1757,Y=179,Width=173,Height=20}","{X=1751,Y=178,Width=173,Height=20}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1782,Y=216,Width=262,Height=41}","{X=1776,Y=214,Width=262,Height=41}","","~5/16/2011","~5/16/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711670-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_16_2011~$47.69~_001.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=2675,Y=155,Width=241,Height=38}","{X=2672,Y=155,Width=230,Height=23}","DIFF","INVOICE NUMBER","MNVQICE NUMBER","DIFF","{X=2547,Y=192,Width=475,Height=49}","{X=2563,Y=198,Width=434,Height=31}","","~7711670-000-000","~7711670-000-000","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711670-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_16_2011~$47.69~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=346,Y=735,Width=246,Height=44}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=346,Y=778,Width=374,Height=44}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11936032 REL 2","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711670-000-000~PO# DPWA11936032~CONSOLIDATED PIPE & SUPPLY CO INC~05_16_2011~$47.69~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2302,Y=2355,Width=214,Height=39}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=3005,Y=2339,Width=124,Height=60}","{X=0,Y=0,Width=0,Height=0}","","~47.69","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711671-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$1,333.13~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1709,Y=176,Width=169,Height=21}","{X=1695,Y=174,Width=169,Height=20}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1733,Y=213,Width=256,Height=42}","{X=1720,Y=210,Width=256,Height=42}","","~5/25/2011","~5/25/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711671-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$1,333.13~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2612,Y=156,Width=235,Height=37}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2504,Y=192,Width=431,Height=47}","{X=0,Y=0,Width=0,Height=0}","","~7711671-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711671-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$1,333.13~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=327,Y=741,Width=249,Height=38}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=384,Y=783,Width=260,Height=42}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711671-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_25_2011~$1,333.13~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2255,Y=2343,Width=213,Height=48}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=2898,Y=2348,Width=161,Height=37}","{X=0,Y=0,Width=0,Height=0}","","~1,333.13","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711686-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_19_2011~$179.89~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1701,Y=181,Width=169,Height=21}","{X=1701,Y=181,Width=169,Height=21}","","INVOICE DATE","INVOICE DATE","","{X=1725,Y=218,Width=254,Height=41}","{X=1725,Y=218,Width=254,Height=41}","","~5/19/2011","~5/19/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711686-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_19_2011~$179.89~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=2607,Y=162,Width=213,Height=23}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2490,Y=206,Width=425,Height=31}","{X=0,Y=0,Width=0,Height=0}","","~7711686-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711686-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_19_2011~$179.89~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=316,Y=741,Width=240,Height=43}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=368,Y=788,Width=265,Height=42}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711686-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_19_2011~$179.89~_001.tif","Error template/document field mis-matched","ERROR","Total Due","Invoice Number","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=2250,Y=2348,Width=203,Height=43}","{X=2272,Y=2360,Width=168,Height=21}","DIFF","Invoice Amount","invoice Amount","DIFF","{X=2908,Y=2343,Width=141,Height=53}","{X=0,Y=0,Width=0,Height=0}","ERROR","~179.89","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711702-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_31_2011~$56.86~_001.tif","Error template/document field mis-matched","ERROR","Invoice Date","Customer Phone","","UnitedStatesPhoneNumber","UnitedStatesPhoneNumber","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1133,Y=176,Width=109,Height=14}","{X=1136,Y=176,Width=109,Height=14}","DIFF","INVOICE DATE","IWOICE DATE","DIFF","{X=1144,Y=196,Width=169,Height=33}","{X=1152,Y=200,Width=158,Height=25}","DIFF","~5/31/2011","~3/31/20U","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711702-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_31_2011~$56.86~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=242,Y=533,Width=163,Height=26}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=277,Y=558,Width=173,Height=25}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711702-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_31_2011~$56.86~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1702,Y=161,Width=162,Height=22}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=1632,Y=186,Width=285,Height=33}","{X=0,Y=0,Width=0,Height=0}","","~7711702-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711702-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_31_2011~$56.86~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1481,Y=1544,Width=134,Height=29}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=1919,Y=1540,Width=78,Height=43}","{X=0,Y=0,Width=0,Height=0}","","~56.86","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711768-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_27_2011~$70.04~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1135,Y=158,Width=107,Height=14}","{X=1138,Y=158,Width=107,Height=14}","","INVOlCE DATE","INVOlCE DATE","DIFF","{X=1150,Y=182,Width=162,Height=26}","{X=1153,Y=182,Width=162,Height=26}","","~5/27/2011","~5/27/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711768-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_27_2011~$70.04~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1702,Y=140,Width=162,Height=26}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=1632,Y=161,Width=292,Height=40}","{X=0,Y=0,Width=0,Height=0}","","~7711768-000-000","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711768-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_27_2011~$70.04~_001.tif","ERROR no document field","","Purchase Order","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=239,Y=512,Width=169,Height=22}","{X=0,Y=0,Width=0,Height=0}","","Customer Order No","","","{X=270,Y=533,Width=177,Height=33}","{X=0,Y=0,Width=0,Height=0}","","~DPWA11940084","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711768-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~05_27_2011~$70.04~_001.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1488,Y=1530,Width=120,Height=29}","{X=0,Y=0,Width=0,Height=0}","","Invoice Amount","","","{X=1919,Y=1530,Width=71,Height=25}","{X=0,Y=0,Width=0,Height=0}","","~70.04","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711769-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~06_03_2011~$70.37~_001.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1696,Y=181,Width=170,Height=20}","{X=1691,Y=180,Width=170,Height=20}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1721,Y=217,Width=255,Height=41}","{X=1716,Y=216,Width=255,Height=41}","","~6/3/2011","~6/03/2011","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\HillsCo\ConsolidatedPipe\Original\INV# 7711769-000-000~PO# DPWA11940084~CONSOLIDATED PIPE & SUPPLY CO INC~06_03_2011~$70.37~_001.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=2583,Y=160,Width=250,Height=38}","{X=0,Y=0,Width=0,Height=0}","","INVOICE NUMBER","","","{X=2475,Y=197,Width=456,Height=47}","{X=0,Y=0,Width=0,Height=0}","","~7711769-000-000","~","Unvalidated"
